CAHPS01,CAHPS04,CAHPS03,CAHPS02,CAHPS21,CAHPS10,CAHPS05,CAHPS12,CAHPS11,CAHPS22,CAHPS06,CAHPS14,CAHPS07,CAHPS23,CAHPS08,CAHPS09,CAHPS15,CAHPS13,CAHPS20,CAHPS19,CAHPS24,CAHPS18,CAHPS16,CAHPS17,Q100,StartDate 
cSAT: Driver: Getting Timely Appointments  Care and Information CAHPS 01,cSAT: Driver: Got answer to question during regular office hours on same day CAHPS 04,cSAT: Driver: Got appointment for check-up or routine care as soon as needed CAHPS 03,cSAT: Driver: Got appointment for urgent care as soon as needed CAHPS 02,cSAT: Driver: Got information about what to do if care is needed on evenings  weekends or holida...,cSAT: Driver: Helpful  Courteous and Respectful Office Staff CAHPS 10,cSAT: Driver: How Well Providers Communicate With Patients CAHPS 05,cSAT: Driver: Office staff courteous and respectful CAHPS 12,cSAT: Driver: Office staff was helpful CAHPS 11,cSAT: Driver: Patient saw a specialist for a particular health problem CAHPS 22,cSAT: Driver: Provider explained things clearly CAHPS 06,cSAT: Driver: Provider knew important information about your medical history CAHPS 14,cSAT: Driver: Provider listened carefully CAHPS 07,cSAT: Driver: Provider seemed informed and up-to-date about care from specialist CAHPS 23,cSAT: Driver: Provider showed respect CAHPS 08,cSAT: Driver: Provider spent enough time CAHPS 09,cSAT: Driver: Providers office followed up with test results CAHPS 15,cSAT: Driver: Providers' Use of Information to Coordinate Patient Care CAHPS 13,cSAT: Driver: Rating of provider CAHPS 20,cSAT: Driver: Someone from provider's office asked if there were things that made it hard for pat...,cSAT: Driver: Someone from provider's office talked about worrying/stressful aspects of patient's...,cSAT: Driver: Someone from provider's office talked with patient about specific health goals CAH...,cSAT: Driver: Talked about prescription medicines at each visit CAHPS 16,cSAT: Driver: Talking with You About Taking Care of Your Own Health PCMH CAHPS 17,cx: Likelihood to recommend NPS,StartDate 
"{""ImportId"":""QID10""}","{""ImportId"":""QID13""}","{""ImportId"":""QID12""}","{""ImportId"":""QID11""}","{""ImportId"":""QID31""}","{""ImportId"":""QID20""}","{""ImportId"":""QID14""}","{""ImportId"":""QID22""}","{""ImportId"":""QID21""}","{""ImportId"":""QID32""}","{""ImportId"":""QID15""}","{""ImportId"":""QID24""}","{""ImportId"":""QID16""}","{""ImportId"":""QID33""}","{""ImportId"":""QID17""}","{""ImportId"":""QID19""}","{""ImportId"":""QID25""}","{""ImportId"":""QID23""}","{""ImportId"":""QID30""}","{""ImportId"":""QID29""}","{""ImportId"":""QID34""}","{""ImportId"":""QID28""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID1""}","{ ""ImportId"": ""startDate"", ""timeZone"": ""America/Denver""}"
4,3,0,8,5,6,6,9,8,2,1,7,2,3,6,4,4,6,7,2,7,3,4,6,7,2019-10-20
5,1,5,10,6,6,6,3,8,7,8,2,0,5,7,7,5,2,1,7,3,3,2,7,3,2019-10-18
1,4,0,3,4,3,3,4,4,2,2,8,0,6,2,3,1,6,8,0,9,9,6,7,3,2019-10-02
3,2,8,6,5,8,7,10,4,5,3,2,5,5,9,3,8,4,8,3,1,6,1,2,2,2019-10-14
3,8,3,4,10,8,9,9,9,1,1,4,1,10,6,0,1,3,1,2,6,7,3,9,0,2019-10-13
0,8,5,10,10,8,10,7,2,0,1,1,7,2,8,3,8,6,8,9,3,2,1,0,8,2019-10-06
0,10,9,5,4,5,6,4,1,5,2,9,9,2,0,0,1,9,7,3,3,4,1,1,1,2019-10-05
8,3,4,3,3,2,1,10,1,8,3,8,5,9,6,6,10,8,4,6,1,3,1,2,2,2019-10-09
5,5,7,1,4,2,1,4,1,9,6,3,2,4,1,8,5,0,4,8,4,5,7,6,9,2019-10-06
10,4,10,0,5,1,2,7,6,5,4,3,1,1,4,2,4,10,8,0,7,7,8,0,0,2019-10-20
5,4,1,5,3,7,8,1,9,6,0,4,5,9,6,7,6,8,2,1,9,5,7,0,3,2019-10-14
5,2,6,8,9,7,7,6,4,8,6,3,10,6,5,7,3,6,0,1,7,0,0,10,1,2019-10-11
5,5,5,3,7,5,1,8,8,6,3,1,5,6,8,7,0,3,3,2,10,2,0,8,6,2019-10-09
10,10,1,4,2,9,10,6,8,2,8,10,8,8,6,1,4,7,6,9,6,9,6,0,7,2019-10-27
6,3,10,5,7,4,7,2,4,9,10,5,1,5,9,6,9,4,7,4,4,8,6,6,8,2019-10-09
5,9,6,3,5,5,1,0,8,6,4,6,8,2,4,8,3,8,2,0,5,5,3,8,0,2019-10-03
4,2,3,1,3,4,4,1,3,1,8,8,7,1,8,6,3,6,2,4,7,3,4,0,3,2019-10-22
2,1,1,4,1,10,5,6,1,1,8,2,5,9,5,0,3,10,9,7,1,9,1,6,3,2019-10-04
3,1,8,6,8,5,10,9,4,3,9,3,6,7,5,7,2,4,0,5,6,4,3,9,10,2019-10-07
9,5,1,3,0,4,3,8,3,9,5,3,7,5,3,6,2,6,2,8,2,1,8,5,2,2019-10-02
1,0,4,1,5,1,8,0,5,3,5,7,5,1,7,8,7,4,5,1,2,6,2,2,7,2019-10-10
0,2,1,9,4,7,5,2,5,6,8,8,2,4,0,9,4,3,6,9,3,7,7,4,4,2019-10-16
7,3,7,6,1,6,1,6,6,7,8,5,3,9,2,3,9,1,5,5,9,9,8,7,8,2019-10-12
5,9,1,9,6,8,1,4,2,5,8,9,7,2,9,8,3,1,5,3,6,5,3,7,2,2019-10-06
6,8,9,7,3,0,9,7,2,2,1,9,5,2,6,7,8,7,6,4,7,2,8,1,2,2019-10-14
9,5,9,5,4,6,3,5,1,9,1,8,2,6,7,3,7,10,6,5,5,4,0,5,4,2019-10-19
6,0,6,9,7,9,1,8,4,3,7,3,4,3,3,0,7,1,8,8,9,2,1,10,7,2019-10-21
6,7,1,10,3,5,3,6,1,6,9,1,1,8,4,3,2,4,6,2,1,5,9,8,10,2019-10-01
5,9,9,8,8,6,1,5,5,10,3,9,10,1,5,5,5,10,8,3,3,1,8,3,8,2019-10-04
7,3,10,1,8,4,9,8,0,8,8,7,1,6,2,8,9,4,5,7,5,3,5,3,4,2019-10-18
8,3,7,7,3,4,2,5,5,6,10,4,3,9,3,4,1,5,6,3,8,3,6,1,4,2019-10-01
10,5,5,5,4,7,1,6,6,3,3,2,3,4,9,5,10,9,1,8,8,3,5,1,6,2019-10-10
3,1,5,10,9,9,6,2,1,6,8,2,1,4,6,1,0,1,10,3,1,7,7,4,3,2019-10-06
2,1,3,7,5,4,5,1,8,7,3,2,0,8,3,8,8,5,2,2,7,5,2,10,2,2019-10-01
4,8,3,7,2,3,1,1,6,3,7,4,6,3,1,3,8,8,3,6,9,7,3,2,7,2019-10-10
8,0,0,5,5,1,1,1,6,3,9,0,6,5,8,8,3,6,1,1,10,6,6,2,6,2019-10-09
4,1,7,2,0,8,9,3,4,5,7,2,4,2,6,4,2,5,5,10,8,9,4,7,3,2019-10-09
0,7,6,4,4,5,6,5,9,1,10,3,2,3,5,2,7,8,4,1,6,6,5,2,7,2019-10-21
8,5,4,6,7,5,8,6,0,10,6,1,9,10,7,3,3,9,3,8,1,7,8,9,1,2019-10-11
4,8,1,9,9,4,6,0,7,2,6,5,2,10,5,1,2,7,8,4,9,2,8,6,8,2019-10-24
3,0,6,0,6,3,4,9,6,6,10,2,4,10,5,9,8,7,4,3,6,7,8,2,7,2019-10-18
0,9,7,2,6,7,3,7,7,0,1,3,9,2,4,5,7,8,9,9,4,9,8,7,3,2019-10-08
1,9,7,5,4,6,2,0,8,1,7,9,8,1,0,9,7,9,7,6,5,4,5,5,5,2019-10-10
1,3,9,3,3,5,9,7,4,2,9,4,10,4,9,5,4,1,7,5,2,1,2,1,9,2019-10-05
2,4,7,2,9,4,2,10,6,9,4,7,9,7,3,6,4,4,7,5,9,3,4,2,2,2019-10-21
10,3,1,8,10,1,0,3,4,2,3,8,3,8,8,9,1,0,3,2,9,1,7,8,6,2019-10-17
5,3,3,8,3,9,8,1,6,1,9,6,7,9,10,1,3,6,4,1,6,1,5,9,0,2019-10-18
8,2,3,1,8,8,6,3,7,8,6,4,2,2,3,0,10,5,8,3,9,9,2,1,7,2019-10-10
9,1,0,8,10,7,5,1,3,0,9,2,3,2,9,7,5,6,8,3,5,8,9,8,8,2019-10-20
1,8,9,9,8,8,9,5,5,5,6,3,6,10,3,1,0,3,7,1,8,1,2,8,8,2019-10-20
9,5,1,1,0,4,5,9,10,2,6,9,9,7,5,7,7,6,1,4,6,9,7,6,2,2019-10-19
2,10,8,5,4,2,4,6,7,8,10,2,6,6,6,7,1,3,7,1,6,5,5,7,2,2019-10-17
1,1,3,6,0,2,2,3,5,3,6,1,7,8,4,2,2,9,4,3,3,3,8,4,5,2019-10-07
1,10,1,9,2,5,8,7,5,10,2,9,1,8,0,6,6,2,2,6,0,6,6,4,4,2019-10-09
9,0,2,6,6,8,9,3,8,4,0,3,4,2,6,8,4,7,5,8,1,4,1,7,9,2019-10-13
10,3,7,5,1,8,0,2,3,8,3,0,1,5,8,2,1,6,9,3,8,7,10,3,3,2019-10-15
6,6,10,6,5,0,2,9,10,1,3,9,1,9,1,2,2,8,0,2,8,5,3,0,4,2019-10-28
9,7,4,4,5,4,7,9,6,5,3,3,7,1,6,8,7,8,5,7,5,5,9,5,0,2019-10-08
7,9,8,6,3,4,9,3,4,6,7,9,5,5,1,8,8,4,5,2,8,3,0,1,5,2019-10-29
0,7,1,5,5,4,2,6,7,3,8,6,7,3,2,9,2,9,1,4,8,3,2,8,3,2019-10-18
9,9,7,9,0,4,5,7,3,2,5,3,9,0,9,5,2,9,1,7,6,8,2,5,3,2019-10-05
8,5,3,4,1,0,4,2,6,6,4,6,3,3,9,2,9,5,7,2,5,1,9,1,1,2019-10-25
9,1,4,4,9,6,4,1,8,7,4,9,3,1,7,1,4,1,6,1,7,2,7,6,3,2019-10-29
5,4,3,9,2,1,2,9,4,5,1,3,0,3,4,8,9,7,3,9,5,5,4,8,7,2019-10-29
8,1,2,5,2,8,5,2,6,0,10,1,5,3,2,2,6,0,3,5,3,2,9,2,1,2019-10-02
5,4,6,8,1,5,4,0,3,6,4,6,3,1,10,3,7,9,8,5,6,8,1,7,7,2019-10-04
4,5,6,0,9,3,8,2,9,2,10,9,2,7,5,8,6,4,7,1,9,5,8,10,4,2019-10-18
7,3,3,5,9,9,2,8,7,6,7,6,1,8,1,1,7,3,7,5,4,4,4,7,1,2019-10-22
2,6,6,0,2,9,7,2,3,7,0,6,5,5,8,7,4,2,1,7,3,9,2,10,6,2019-10-08
6,9,7,0,9,4,5,9,5,4,4,1,6,5,3,1,4,1,1,9,1,5,10,7,3,2019-10-26
1,10,2,9,7,0,3,9,8,8,4,0,6,5,6,0,5,4,1,1,1,4,4,5,6,2019-10-11
2,3,5,10,6,5,9,8,8,3,1,7,8,2,5,3,2,8,2,7,7,8,7,0,0,2019-10-01
4,5,5,8,8,5,10,3,0,4,1,4,0,3,6,7,7,7,7,6,8,2,2,1,6,2019-10-03
