Q30,Q27,Q28,Q35,Q25,Q17,Q18,Q22,Q13,Q5,Q19,Q6,Q37,StartDate 
Communication across teams is effective during this crisis.,Communication from the organization on COVID-19 has been helpful in understanding what resources...,Communication from the organization provides me with the information I need to continue to work s...,I feel confident I can keep myself healthy while doing my job,I have access to the information I need for relevant health and wellness benefits at this time e...,I have been able to balance working with taking care of myself.,I have been able to maintain a positive outlook on my ability to contribute during this time. ,I have confidence in the leadership team's decisions for the organization at this time. ,I have the equipment Personal Protective Equipment PPE  Masks Gloves Sanitizer etc. I need...,In which location are you currently working,My team has been working well together to support each other during this time.,What best describes your role,What equipment do you need to make you feel safer at your workplace,StartDate 
"{""ImportId"":""QID30""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID36""}","{""ImportId"":""QID25""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID22""}","{""ImportId"":""QID13""}","{""ImportId"":""QID5""}","{""ImportId"":""QID19""}","{""ImportId"":""QID6""}","{""ImportId"":""QID38""}","{ ""ImportId"": ""startDate"", ""timeZone"": ""America/Denver""}"
9,4,1,9,5,4,5,3,5,1,1,8,"0,3,4",2020-03-12
9,5,5,7,5,2,4,2,4,1,4,9,"0,2,3",2020-03-20
10,4,1,7,3,3,3,4,4,99,5,6,"2,3,4",2020-03-22
8,4,5,5,3,2,3,2,4,99,3,2,"1,3",2020-03-21
9,4,3,7,4,4,1,3,3,99,4,1,"0,2,4",2020-03-09
10,4,1,7,5,2,3,2,4,1,4,2,"1,2",2020-03-17
7,5,1,9,1,3,5,4,5,99,3,4,"0",2020-03-07
8,4,5,9,3,5,1,2,4,1,5,1,"4",2020-03-02
7,4,4,5,1,3,4,4,1,1,3,2,"3,4",2020-03-06
7,1,4,10,5,5,1,3,3,99,4,4,"0,2,3,4",2020-03-03
9,1,5,7,3,3,3,2,3,99,3,10,"0,1,3",2020-03-20
9,3,4,9,3,4,5,4,3,1,3,2,"1,2,4",2020-03-20
9,4,3,7,3,3,1,2,3,1,3,5,"0,1",2020-03-01
9,3,5,7,3,4,4,4,5,1,4,5,"0,1",2020-03-30
9,5,3,9,5,4,3,1,3,1,5,9,"0,3,4",2020-03-23
8,3,4,9,3,3,3,4,3,1,5,2,"0",2020-03-13
7,1,3,10,3,3,1,4,4,99,4,10,"0,2,3,4",2020-03-23
8,5,5,10,3,3,4,3,4,1,5,8,"2,3,4",2020-03-11
7,3,1,9,3,4,4,2,3,99,3,4,"2,3,4",2020-03-11
8,3,3,7,5,4,3,1,3,99,4,8,"0,4",2020-03-27
10,3,3,7,5,3,3,2,1,1,3,6,"0,1,4",2020-03-03
9,1,3,10,4,4,3,3,3,1,1,6,"1,2,3,4",2020-03-10
8,4,4,9,3,2,5,2,1,99,4,6,"0,1,2,3,4",2020-03-19
10,3,5,10,1,4,1,1,3,1,3,7,"2,3,4",2020-03-23
9,3,5,10,5,3,4,5,3,1,5,6,"1,2,3",2020-03-23
8,1,5,7,1,4,4,3,3,1,4,3,"2,4",2020-03-10
10,5,5,9,3,5,5,5,3,1,5,10,"2",2020-03-30
9,4,1,5,4,4,3,1,1,1,3,9,"1,2,3,4",2020-03-12
9,3,3,9,4,3,5,2,3,1,3,6,"0,1,2",2020-03-05
10,1,4,9,3,2,4,1,1,99,5,3,"2,4",2020-03-28
8,5,4,7,1,4,3,1,1,1,4,5,"2,3,4",2020-03-14
8,3,1,7,3,3,4,3,1,1,3,4,"0,2,3,4",2020-03-11
9,4,4,9,3,4,3,3,5,1,5,9,"2,4",2020-03-05
8,4,1,7,3,3,3,5,3,99,4,7,"0",2020-03-03
9,3,1,9,1,2,4,5,5,1,3,9,"0,1,2,3,4",2020-03-04
7,4,3,5,3,3,4,4,4,1,1,7,"0,2",2020-03-22
7,4,3,5,4,5,1,1,3,99,1,5,"0,1,2,4",2020-03-20
8,1,3,10,3,4,3,4,4,99,5,10,"2,3",2020-03-04
8,1,3,7,3,2,3,3,4,1,4,7,"2",2020-03-19
7,4,1,5,5,3,5,5,3,99,4,9,"2,3",2020-03-19
10,4,1,10,5,5,4,1,4,99,3,4,"0,2,3,4",2020-03-25
9,3,5,9,4,5,5,5,4,99,4,99,"0,2,3",2020-03-20
9,5,4,5,3,5,3,4,1,1,4,4,"1,3",2020-03-15
7,4,5,9,3,3,5,3,1,99,3,3,"0,4",2020-03-28
7,4,3,10,4,2,3,5,3,99,3,9,"0,1,4",2020-03-11
8,3,5,7,3,4,3,3,4,1,1,99,"0,1,3",2020-03-23
8,3,4,9,4,2,3,5,4,99,4,5,"3,4",2020-03-03
8,5,4,5,3,3,1,4,4,99,1,6,"1,2,3",2020-03-21
8,4,1,5,5,2,1,4,4,1,1,9,"1,2,3",2020-03-24
