Q6,Q5,Q7,Q25,Q24,Q27,Q26,Q28,Q8,Q11,Q13,Q12,Q14,Q60,Q10,Q2,Q35,Q33,Q36,Q34,Q19,Q23,Q20,Q21,Q22,Q15,Q16,Q18,Q17,Q40,Q37,Q38,Q43,Q41,Q46,Q42,Q44,Q39,Q45,Q47,Q49,Q48,Q50,Q30,Q29,Q32,Q31,Q9,Q51,Q55,Q53,Q54,Q56,Q52,Q58,Q57,Q59,Q3,Q4,Q1,StartDate 
cx: Driver: Billing  Invoicing: Billing issues fairly satisfactorily resolved,cx: Driver: Billing  Invoicing: Invoices from your company are complete and accurate,cx: Driver: Billing  Invoicing: issue with an invoice  accommodating and helpful,cx: Driver: Communication: Efforts to meet your communication needs,cx: Driver: Communication: Overall Satisfaction,cx: Driver: Communication: Personnel knowledge of products  services and policies,cx: Driver: Communication: When I call  connected to the right individual who can help me,cx: Driver: Communication: Your personnel routinely stay in touch with me to keep me apprised of...,cx: Driver: Credits  Payments: Overall Satisfaction,cx: Driver: Credits  Payments: Your credit and payment schedules are consistent with the industr...,cx: Driver: Credits  Returns: Credits are issued in a prompt and efficient manner,cx: Driver: Credits  Returns: Overall Satisfaction,cx: Driver: Credits  Returns: The need to submit credit requests is infrequent,cx: Driver: Design Input: Overall Satisfaction,cx: Driver: Driver: Credits  Payments: When a credit or payment issue arises  you work effective...,cx: Driver: Ease of doing business,cx: Driver: Literature: I get enough literature to keep me well informed about the products you o...,cx: Driver: Literature: Overall Satisfaction,cx: Driver: Literature: Your literature current and up to date,cx: Driver: Literature: Your literature easy to read and understand,cx: Driver: Pricing: Business Practices Overall Satisfaction,cx: Driver: Pricing: Business Practices: Contract or order changes are easy to make,cx: Driver: Pricing: Business Practices: Dealings with our company as a business partner,cx: Driver: Pricing: Business Practices: Your company is flexible in the way it conducts business,cx: Driver: Pricing: Business Practices: Your company keeps the promises it makes,cx: Driver: Pricing: Overall Satisfaction,cx: Driver: Pricing: Price quotes are provided quickly and accurately,cx: Driver: Pricing: When providing quotes  the prices you quote or the availability of product m...,cx: Driver: Pricing: When providing quotes  your availability of information is readily accessibl...,cx: Driver: Product: I cannot think of any ways in which your products could be improved,cx: Driver: Product: Overall Satisfaction,cx: Driver: Product: Product design and features are innovative,cx: Driver: Product: Quality issues are promptly corrected,cx: Driver: Product: Quality of our products,cx: Driver: Product: Reliability,cx: Driver: Product: The products perform as represented in your literature,cx: Driver: Product: The quality process is sufficient for our requirements,cx: Driver: Product: The scope of your product line meets our needs,cx: Driver: Product: Value,cx: Driver: Quality Control: Overall Satisfaction,cx: Driver: Quality Control: Products meet specifications and quality standards,cx: Driver: Quality Control: Quality of our products,cx: Driver: Quality Control: The coordination between your sales and service people is excellent,cx: Driver: Relationship: Follow up on problems to make sure they have been resolved,cx: Driver: Relationship: Overall Satisfaction,cx: Driver: Relationship: Personnel polite and accommodating,cx: Driver: Relationship: Treated with consideration and respect,cx: Driver: Sat: Credits  Payments: The credit and payment schedules are consistent with our needs,cx: Driver: Service  Support: Overall Satisfaction,cx: Driver: Service  Support: Problems are corrected the first time,cx: Driver: Service  Support: Respond quickly and effectively to our requests for service,cx: Driver: Service  Support: Service personnel are knowledgeable about the equipment they service,cx: Driver: Service  Support: Service technicians respond to equipment breakdowns promptly,cx: Driver: Service  Support: Service we provide for our products,cx: Driver: Shipping: Overall Satisfaction,cx: Driver: Training: Overall Satisfaction,cx: Driver: Warranties: Overall Satisfaction,cx: Driver: Would purchase from you again,cx: Sat: Billing  Invoicing: Overall Satisfaction,Likelihood to Recommend,StartDate 
"{""ImportId"":""QID6""}","{""ImportId"":""QID5""}","{""ImportId"":""QID7""}","{""ImportId"":""QID25""}","{""ImportId"":""QID24""}","{""ImportId"":""QID27""}","{""ImportId"":""QID26""}","{""ImportId"":""QID28""}","{""ImportId"":""QID8""}","{""ImportId"":""QID11""}","{""ImportId"":""QID13""}","{""ImportId"":""QID12""}","{""ImportId"":""QID14""}","{""ImportId"":""QID60""}","{""ImportId"":""QID10""}","{""ImportId"":""QID2""}","{""ImportId"":""QID35""}","{""ImportId"":""QID33""}","{""ImportId"":""QID36""}","{""ImportId"":""QID34""}","{""ImportId"":""QID19""}","{""ImportId"":""QID23""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID18""}","{""ImportId"":""QID17""}","{""ImportId"":""QID40""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID43""}","{""ImportId"":""QID41""}","{""ImportId"":""QID46""}","{""ImportId"":""QID42""}","{""ImportId"":""QID44""}","{""ImportId"":""QID39""}","{""ImportId"":""QID45""}","{""ImportId"":""QID47""}","{""ImportId"":""QID49""}","{""ImportId"":""QID48""}","{""ImportId"":""QID50""}","{""ImportId"":""QID30""}","{""ImportId"":""QID29""}","{""ImportId"":""QID32""}","{""ImportId"":""QID31""}","{""ImportId"":""QID9""}","{""ImportId"":""QID51""}","{""ImportId"":""QID55""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54""}","{""ImportId"":""QID56""}","{""ImportId"":""QID52""}","{""ImportId"":""QID58""}","{""ImportId"":""QID57""}","{""ImportId"":""QID59""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID1""}","{ ""ImportId"": ""startDate"", ""timeZone"": ""America/Denver""}"
1,2,5,2,3,4,5,4,2,4,4,5,1,1,4,4,5,3,3,2,1,4,3,4,4,5,1,4,5,5,3,3,5,3,4,2,2,3,4,2,4,2,2,3,2,1,3,3,4,2,3,4,2,2,2,2,1,3,2,9,2020-03-14
4,2,2,1,3,4,4,4,3,2,4,2,3,5,1,2,2,3,4,4,3,5,2,2,1,1,1,2,3,2,1,4,4,3,3,4,2,3,2,2,3,2,2,5,4,3,2,3,3,2,2,4,3,4,2,4,5,1,2,7,2020-03-01
2,4,4,4,5,3,4,3,2,2,2,3,2,4,4,4,4,4,1,2,1,4,2,3,3,3,2,4,1,5,1,4,3,4,2,3,4,4,5,3,3,5,2,4,4,4,2,2,3,2,1,2,5,3,1,2,2,2,4,1,2020-03-21
3,2,4,5,4,1,2,4,5,2,2,3,4,3,2,4,1,5,3,3,3,5,3,3,2,5,4,1,5,2,3,2,3,3,4,3,1,1,5,2,2,3,1,2,1,2,4,3,3,1,5,4,1,3,3,4,1,2,2,6,2020-03-13
4,3,2,3,3,5,1,4,2,2,2,1,4,3,4,3,2,2,3,1,1,4,2,5,1,2,2,4,4,5,3,2,2,4,1,4,3,1,1,4,3,2,1,2,3,2,4,2,4,2,3,2,4,2,3,3,4,3,1,2,2020-03-17
1,3,1,2,4,3,4,4,5,2,4,2,2,3,2,5,1,2,1,1,2,4,2,4,4,3,2,2,4,4,1,2,3,4,2,4,2,3,2,2,4,4,5,1,2,2,4,4,3,5,2,5,3,4,4,3,3,2,1,3,2020-03-07
1,2,4,3,5,1,3,4,2,4,2,2,5,2,3,1,2,3,1,3,1,3,1,1,4,1,2,2,3,3,4,5,3,3,3,4,5,1,3,4,4,2,2,2,2,4,5,4,4,4,4,3,4,5,2,2,2,5,1,7,2020-03-10
1,3,2,4,5,4,2,4,2,2,4,2,3,5,3,2,2,2,3,2,3,5,1,3,5,1,5,4,2,2,2,3,4,1,2,4,4,2,5,2,1,1,4,3,4,1,4,4,3,2,4,4,4,2,5,2,1,3,1,0,2020-03-20
